식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D202-120000000-2408,피자_마라 피자 마라링 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,252,,17.04,,,,3.7,,,,,,469,,,,,,,,,,5.19,,3,식품의약품안전처,539g,7번가피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2409,피자_마라 피자 석쇠 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,255,,16.09,,,,4.6,,,,,,382,,,,,,,,,,4.02,,3,식품의약품안전처,694g,7번가피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2410,피자_마라 피자 석쇠 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,255,,16.36,,,,4.55,,,,,,383,,,,,,,,,,4.55,,3,식품의약품안전처,439g,7번가피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2411,피자_마라 피자 씬바샤삭 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,309,,11.59,,,,5.07,,,,,,345,,,,,,,,,,7.25,,3,식품의약품안전처,552g,7번가피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2412,피자_마라 피자 씬바샤삭 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,297,,12.87,,,,3.96,,,,,,358,,,,,,,,,,7.92,,3,식품의약품안전처,404g,7번가피자,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2414,피자_마르게리타 피자 오리지널 파마산 치즈 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,296,,14.12,,,,2.89,,,,,,603,,,,,,,,,,5.78,,3,식품의약품안전처,748g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2415,피자_마르게리타 피자 오리지널 파마산 치즈 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,305,,14.93,,,,2.53,,,,,,615,,,,,,,,,,6.6,,3,식품의약품안전처,452g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2416,피자_마르게리타 피자 씬 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,350,,15.91,,,,3.55,,,,,,515,,,,,,,,,,10.55,,3,식품의약품안전처,440g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2417,피자_마르게리타 피자 오리지널 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,291,,13.48,,,,2.98,,,,,,587,,,,,,,,,,5.25,,3,식품의약품안전처,726g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
D202-120000000-2418,피자_마르게리타 피자 오리지널 (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02120,피자,0212000,해당없음,021200000,해당없음,00,해당없음,100g,299,,14.25,,,,2.6,,,,,,595,,,,,,,,,,6.03,,3,식품의약품안전처,442g,피자헛,2,수집,2023-10-31,2024-04-16,1471000,식품의약품안전처
